Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,WoodDeckSF,PoolArea,SalePrice
151,RL,120,10356,Pave,,Reg,CollgCr,1Fam,1Story,5,6,1975,1975,Gable,969,SBrkr,969,0,969,1,1,3,1,5,Attchd,2,440,0,0,122000
152,RL,107,13891,Pave,,Reg,NridgHt,1Fam,1Story,8,5,2007,2008,Hip,1710,SBrkr,1710,0,1710,2,0,2,1,6,Attchd,3,866,0,0,372402
153,RL,,14803,Pave,,IR1,NWAmes,1Fam,2Story,6,5,1971,1971,Gable,825,SBrkr,1097,896,1993,2,1,4,1,8,Attchd,2,495,0,0,190000
154,RL,,13500,Pave,,Reg,ClearCr,1Fam,1Story,6,7,1960,1975,Flat,1602,SBrkr,1252,0,1252,1,0,1,1,4,Attchd,2,564,409,0,235000
155,RM,84,11340,Pave,,Reg,OldTown,1Fam,1Story,6,5,1923,1950,Gable,1200,FuseA,1200,0,1200,1,0,4,1,7,Detchd,1,312,0,0,125000
156,RL,60,9600,Pave,,Reg,Edwards,1Fam,1.5Fin,6,5,1924,1950,Gable,572,FuseF,572,524,1096,1,0,2,1,5,,0,0,0,0,79000
157,RL,60,7200,Pave,,Reg,NAmes,1Fam,1Story,5,7,1950,1950,Hip,0,FuseF,1040,0,1040,1,0,2,1,5,Detchd,2,625,0,0,109500
158,RL,92,12003,Pave,,Reg,Timber,1Fam,2Story,8,5,2009,2010,Gable,774,SBrkr,774,1194,1968,2,1,4,1,8,BuiltIn,3,680,0,0,269500
159,FV,100,12552,Pave,,Reg,Somerst,1Fam,2Story,7,5,2004,2005,Gable,991,SBrkr,991,956,1947,2,1,3,1,8,Attchd,2,678,0,0,254900
160,RL,134,19378,Pave,,IR1,Gilbert,1Fam,2Story,7,5,2005,2006,Gable,1392,SBrkr,1392,1070,2462,2,1,4,1,9,Attchd,2,576,239,0,320000
161,RL,,11120,Pave,,IR1,Veenker,1Fam,1Story,6,6,1984,1984,Gable,1232,SBrkr,1232,0,1232,2,0,3,1,6,Attchd,2,516,0,0,162500
162,RL,110,13688,Pave,,IR1,NridgHt,1Fam,2Story,9,5,2003,2004,Gable,1572,SBrkr,1572,1096,2668,2,1,3,1,10,BuiltIn,3,726,400,0,412500
163,RL,95,12182,Pave,,Reg,NridgHt,1Fam,1Story,7,5,2005,2005,Gable,1541,SBrkr,1541,0,1541,2,0,3,1,7,Attchd,2,532,0,0,220000
164,RL,55,5500,Pave,,Reg,OldTown,1Fam,1.5Unf,4,6,1956,1956,Gable,882,SBrkr,882,0,882,1,0,1,1,4,,0,0,0,0,103200
165,RM,40,5400,Pave,Pave,Reg,OldTown,1Fam,1Story,6,7,1926,2004,Gable,1149,FuseA,1149,467,1616,2,0,3,1,5,Detchd,1,216,0,0,152000
166,RL,62,10106,Pave,,Reg,Edwards,2fmCon,1.5Fin,5,7,1940,1999,Gable,644,SBrkr,808,547,1355,2,0,4,2,6,,0,0,140,0,127500
167,RL,,10708,Pave,,IR1,ClearCr,1Fam,1Story,5,5,1955,1993,Hip,1617,FuseA,1867,0,1867,1,0,2,1,7,Attchd,1,303,476,0,190000
168,RL,86,10562,Pave,,Reg,NridgHt,1Fam,2Story,8,5,2007,2007,Gable,1582,SBrkr,1610,551,2161,1,1,3,1,8,Attchd,3,789,178,0,325624
169,RL,62,8244,Pave,,IR1,Gilbert,1Fam,2Story,7,5,2004,2004,Gable,840,SBrkr,840,880,1720,2,1,3,1,7,Attchd,2,440,100,0,183500
170,RL,,16669,Pave,,IR1,Timber,1Fam,1Story,8,6,1981,1981,Hip,1686,SBrkr,1707,0,1707,2,1,2,1,6,Attchd,2,511,574,0,228000
171,RM,,12358,Pave,,IR1,OldTown,1Fam,1.5Fin,5,6,1941,1950,Gable,720,SBrkr,854,0,1382,1,1,2,1,7,Detchd,2,660,237,0,128500
172,RL,141,31770,Pave,,IR1,NAmes,1Fam,1Story,6,5,1960,1960,Hip,1080,SBrkr,1656,0,1656,1,0,3,1,7,Attchd,2,528,210,0,215000
173,RL,44,5306,Pave,,IR1,StoneBr,TwnhsE,2Story,7,7,1987,1987,Gable,1064,SBrkr,1064,703,1767,2,0,2,1,5,Attchd,2,504,441,0,239000
174,RL,80,10197,Pave,,IR1,NAmes,1Fam,1Story,6,5,1961,1961,Gable,1362,SBrkr,1362,0,1362,1,1,3,1,6,Attchd,2,504,0,0,163000
175,RL,47,12416,Pave,,IR1,Timber,1Fam,1Story,6,5,1986,1986,Gable,1606,SBrkr,1651,0,1651,2,0,3,1,7,Attchd,2,616,192,0,184000
176,RL,84,12615,Pave,,Reg,Edwards,1Fam,1Story,6,7,1950,2001,Gable,1202,SBrkr,2158,0,2158,2,0,4,1,7,Attchd,2,576,0,0,243000
177,RL,97,10029,Pave,,IR1,ClearCr,1Fam,2Story,6,5,1988,1989,Gable,1151,SBrkr,1164,896,2060,2,1,4,1,8,Attchd,2,521,0,0,211000
178,RL,,13650,Pave,,Reg,Sawyer,1Fam,1.5Fin,5,5,1958,1958,Gable,1052,SBrkr,1252,668,1920,2,0,4,1,8,Attchd,2,451,0,0,172500
179,RL,63,17423,Pave,,IR1,StoneBr,1Fam,1Story,9,5,2008,2009,Hip,2216,SBrkr,2234,0,2234,2,0,1,1,9,Attchd,3,1166,0,0,501837
180,RM,60,8520,Pave,,Reg,OldTown,1Fam,1Story,5,6,1923,2006,Gable,968,SBrkr,968,0,968,1,0,2,1,5,Detchd,2,480,0,0,100000
181,FV,,2117,Pave,,Reg,Somerst,Twnhs,2Story,6,5,2000,2000,Gable,756,SBrkr,769,756,1525,2,1,3,1,5,Detchd,2,440,0,0,177000
182,RL,54,7588,Pave,,Reg,Crawfor,1Fam,2Story,7,6,1920,1950,Gable,793,SBrkr,901,901,1802,1,1,4,1,9,Detchd,1,216,0,0,200100
183,RL,60,9060,Pave,,Reg,Edwards,1Fam,1Story,5,6,1957,2006,Hip,0,SBrkr,1340,0,1340,1,0,3,1,7,Attchd,1,252,116,0,120000
184,RM,63,11426,Pave,,Reg,OldTown,1Fam,1.5Fin,7,5,2003,2003,Gable,1362,SBrkr,1362,720,2082,2,1,3,1,6,Detchd,2,484,280,0,200000
185,RL,92,7438,Pave,,IR1,BrkSide,1Fam,1.5Fin,5,8,1908,1991,Gable,504,SBrkr,936,316,1252,1,0,3,1,5,Attchd,2,576,104,0,127000
186,RM,90,22950,Pave,,IR2,OldTown,1Fam,2.5Fin,10,9,1892,1993,Gable,1107,SBrkr,1518,1518,3608,2,1,4,1,12,Detchd,3,840,0,0,475000
187,RL,,9947,Pave,,IR1,Mitchel,1Fam,SLvl,7,5,1990,1991,Gable,1188,SBrkr,1217,0,1217,2,0,3,1,6,Attchd,2,497,168,0,173000
188,RL,60,10410,Pave,,Reg,OldTown,1Fam,1.5Fin,5,7,1916,1987,Gable,660,SBrkr,808,704,1656,2,1,3,1,8,Detchd,1,180,0,0,135000
189,RL,64,7018,Pave,,Reg,SawyerW,Duplex,SFoyer,5,5,1979,1979,Gable,1086,SBrkr,1224,0,1224,0,2,2,2,6,Detchd,2,528,120,0,153337
190,RL,41,4923,Pave,,Reg,StoneBr,TwnhsE,1Story,8,5,2001,2002,Gable,1593,SBrkr,1593,0,1593,1,1,0,1,5,Attchd,2,682,0,0,286000
191,RL,70,10570,Pave,,Reg,Crawfor,1Fam,2Story,8,8,1932,1994,Hip,853,SBrkr,1549,1178,2727,2,1,3,1,10,Detchd,2,440,0,0,315000
192,RL,,7472,Pave,,IR1,NAmes,1Fam,2Story,7,9,1972,2004,Gable,725,SBrkr,725,754,1479,1,1,4,1,7,Attchd,2,484,0,0,184000
193,RL,68,9017,Pave,,IR1,CollgCr,1Fam,1Story,7,5,1999,1999,Gable,1431,SBrkr,1431,0,1431,2,0,3,1,6,Attchd,2,666,0,0,192000
194,RM,24,2522,Pave,,Reg,Edwards,Twnhs,2Story,7,5,2004,2004,Gable,970,SBrkr,970,739,1709,2,0,3,1,7,Detchd,2,380,0,0,130000
195,RL,60,7180,Pave,,IR1,CollgCr,1Fam,1Story,5,7,1972,1972,Hip,864,SBrkr,864,0,864,1,0,3,1,5,Detchd,1,352,0,0,127000
196,RL,24,2280,Pave,,Reg,NPkVill,Twnhs,2Story,6,6,1976,1976,Gable,855,SBrkr,855,601,1456,2,1,3,1,7,Attchd,2,440,87,0,148500
197,RL,79,9416,Pave,,Reg,Somerst,1Fam,1Story,7,5,2007,2007,Hip,1726,SBrkr,1726,0,1726,2,0,3,1,8,Attchd,3,786,171,0,311872
198,RL,174,25419,Pave,,Reg,NAmes,1Fam,2Story,8,4,1918,1990,Gable,1360,SBrkr,1360,1360,3112,2,0,4,1,8,Detchd,2,795,0,512,235000
199,RM,92,5520,Pave,,Reg,OldTown,1Fam,2.5Fin,6,6,1912,1950,Gable,755,SBrkr,929,929,2229,1,0,5,1,8,,0,0,0,0,104000
200,RL,76,9591,Pave,,Reg,NridgHt,1Fam,1Story,8,5,2004,2005,Hip,1713,SBrkr,1713,0,1713,2,0,3,1,7,Attchd,3,856,0,0,274900
201,RM,80,8546,Pave,,Reg,Edwards,1Fam,1Story,4,5,2003,2004,Gable,1121,SBrkr,1121,0,1121,2,0,2,1,5,Attchd,2,440,132,0,140000
202,RL,75,10125,Pave,,Reg,Mitchel,1Fam,1Story,6,6,1977,1977,Gable,1196,SBrkr,1279,0,1279,2,0,3,1,6,Detchd,2,473,238,0,171500
203,RL,50,7000,Pave,,Reg,OldTown,1Fam,1.5Fin,6,6,1924,1950,Gable,617,SBrkr,865,445,1310,2,0,2,1,6,Attchd,1,398,0,0,112000
204,RM,,4438,Pave,,Reg,CollgCr,TwnhsE,1Story,6,5,2004,2004,Gable,848,SBrkr,848,0,848,1,0,1,1,3,Attchd,2,420,149,0,149000
205,RM,50,3500,Pave,Grvl,Reg,OldTown,1Fam,1.5Fin,5,7,1947,1950,Gable,720,SBrkr,720,564,1284,1,1,2,1,5,Detchd,1,240,0,0,110000
206,RL,99,11851,Pave,,Reg,Gilbert,1Fam,1Story,7,5,1990,1990,Gable,1424,SBrkr,1442,0,1442,2,0,3,1,5,Attchd,2,500,0,0,180500
207,RL,40,13673,Pave,,IR1,Sawyer,1Fam,1Story,5,5,1962,1962,Gable,1140,SBrkr,1696,0,1696,1,1,3,1,8,Attchd,1,349,0,0,143900
208,RL,,12493,Pave,,IR1,NAmes,1Fam,1Story,4,5,1960,1960,Gable,1100,SBrkr,1100,0,1100,1,0,3,1,6,Attchd,1,312,355,0,141000
209,RL,,14364,Pave,,IR1,SawyerW,1Fam,2Story,7,5,1988,1989,Gable,1157,SBrkr,1180,882,2062,2,1,3,1,7,Attchd,2,454,60,0,277000
210,RL,75,8250,Pave,,Reg,NAmes,1Fam,1Story,6,7,1964,1964,Hip,1092,SBrkr,1092,0,1092,1,0,3,1,6,Attchd,2,504,0,0,145000
211,RL,67,5604,Pave,,Reg,Edwards,1Fam,1Story,5,6,1925,1950,Gable,864,FuseA,864,0,864,1,0,2,1,5,,0,0,0,0,98000
212,RL,83,10420,Pave,,Reg,Edwards,1Fam,1Story,6,5,2009,2009,Gable,1212,SBrkr,1212,0,1212,2,0,3,1,6,Attchd,2,460,100,0,186000
213,FV,72,8640,Pave,,Reg,Somerst,1Fam,2Story,7,5,2009,2009,Gable,900,SBrkr,932,920,1852,2,1,3,1,7,Attchd,2,644,168,0,252678
214,RL,43,13568,Pave,,IR2,CollgCr,1Fam,1Story,5,5,1995,1995,Gable,990,SBrkr,990,0,990,1,0,3,1,5,Attchd,2,576,224,0,156000
215,RL,,10900,Pave,,IR1,CollgCr,1Fam,2Story,6,7,1977,1977,Gable,689,SBrkr,689,703,1392,1,1,3,1,6,Attchd,1,299,0,0,161750
216,RL,72,10011,Pave,,IR1,NAmes,1Fam,1Story,5,6,1957,1996,Gable,1070,SBrkr,1236,0,1236,1,0,2,1,6,Attchd,1,447,0,0,134450
217,RL,65,8450,Pave,,Reg,CollgCr,1Fam,1Story,7,5,2004,2004,Gable,1436,SBrkr,1436,0,1436,2,0,3,1,8,Attchd,2,484,139,0,210000
218,RM,57,9906,Pave,Grvl,Reg,OldTown,1Fam,2Story,4,4,1925,1950,Gable,686,SBrkr,810,518,1328,1,0,3,1,8,Detchd,1,210,0,0,107000
219,RL,,15660,Pave,,IR1,Crawfor,1Fam,1.5Fin,7,9,1939,2006,Gable,798,SBrkr,1137,817,1954,1,1,3,1,8,Attchd,2,431,0,0,311500
220,RL,43,3010,Pave,,Reg,Blmngtn,TwnhsE,1Story,7,5,2005,2006,Gable,1248,SBrkr,1248,0,1248,2,0,2,1,5,Attchd,2,438,108,0,167240
221,RL,73,8990,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2006,2006,Gable,1498,SBrkr,1498,0,1498,2,0,2,1,5,Attchd,2,675,351,0,204900
222,RL,,8068,Pave,,IR1,Gilbert,1Fam,2Story,6,5,2002,2002,Gable,1010,SBrkr,1010,1257,2267,2,1,4,1,8,BuiltIn,2,390,120,0,200000
223,RL,85,11475,Pave,,Reg,NWAmes,1Fam,2Story,6,6,1975,1975,Gable,713,SBrkr,811,741,1552,2,1,3,1,6,Attchd,2,434,209,0,179900
224,RL,70,10500,Pave,,Reg,NAmes,1Fam,1Story,4,6,1971,1971,Gable,864,SBrkr,864,0,864,1,0,2,1,4,Detchd,2,576,216,0,97000
225,RL,103,13472,Pave,,Reg,NridgHt,1Fam,1Story,10,5,2003,2003,Hip,2392,SBrkr,2392,0,2392,2,0,3,1,8,Attchd,3,968,248,0,386250
226,RM,21,1680,Pave,,Reg,BrDale,Twnhs,2Story,5,5,1971,1971,Gable,630,SBrkr,630,672,1302,2,1,3,1,6,Detchd,1,280,0,0,112000
227,RL,82,9950,Pave,,IR1,NoRidge,1Fam,2Story,7,5,1995,1995,Gable,1203,SBrkr,1214,1306,2520,2,1,4,1,9,Attchd,3,721,224,0,290000
228,RM,21,1869,Pave,,Reg,BrDale,Twnhs,2Story,6,6,1970,1970,Gable,483,SBrkr,483,504,987,1,1,2,1,5,Detchd,1,280,0,0,106000
229,RL,70,8521,Pave,,Reg,Sawyer,1Fam,1Story,5,5,1967,1967,Gable,912,SBrkr,912,0,912,1,0,3,1,5,Detchd,1,336,0,0,125000
230,RL,43,3182,Pave,,Reg,Blmngtn,TwnhsE,1Story,7,5,2005,2006,Gable,1373,SBrkr,1555,0,1555,2,0,2,1,7,Attchd,2,430,143,0,192500
231,RL,73,8760,Pave,,Reg,NAmes,1Fam,1Story,6,6,1959,1959,Hip,1194,SBrkr,1194,0,1194,1,0,3,1,6,Attchd,1,312,0,0,148000
232,RL,174,15138,Pave,,IR1,NoRidge,1Fam,2Story,8,5,1995,1996,Gable,1462,SBrkr,1490,1304,2794,2,1,4,1,9,Attchd,3,810,0,0,403000
233,RM,21,1680,Pave,,Reg,BrDale,Twnhs,2Story,6,5,1972,1972,Gable,483,SBrkr,483,504,987,1,1,2,1,5,Attchd,1,288,0,0,94500
234,RL,75,10650,Pave,,Reg,CollgCr,1Fam,1Story,5,6,1976,1976,Gable,894,SBrkr,894,0,894,1,0,3,1,5,Attchd,1,308,365,0,128200
235,RL,,7851,Pave,,Reg,Gilbert,1Fam,2Story,6,5,2002,2002,Gable,860,SBrkr,860,1100,1960,2,1,4,1,8,BuiltIn,2,440,288,0,216500
236,RM,21,1680,Pave,,Reg,BrDale,TwnhsE,2Story,6,3,1971,1971,Gable,483,SBrkr,483,504,987,1,1,2,1,5,Detchd,1,264,0,0,89500
237,RL,65,8773,Pave,,Reg,CollgCr,1Fam,1Story,7,5,2004,2004,Gable,1414,SBrkr,1414,0,1414,2,0,3,1,6,Attchd,2,494,132,0,185500
238,RL,,9453,Pave,,IR1,SawyerW,1Fam,2Story,7,7,1993,2003,Gable,996,SBrkr,1014,730,1744,2,1,3,1,7,Attchd,2,457,370,0,194500
239,RL,93,12030,Pave,,Reg,NridgHt,1Fam,1Story,8,5,2007,2007,Hip,1694,SBrkr,1694,0,1694,2,0,3,1,7,Attchd,3,818,168,0,318000
240,RL,52,8741,Pave,,Reg,Edwards,1Fam,1.5Fin,6,4,1945,1950,Gable,735,FuseA,798,689,1487,1,1,3,1,7,Detchd,1,220,0,0,113000
241,FV,75,9000,Pave,,Reg,Somerst,1Fam,1Story,8,5,2008,2008,Gable,1566,SBrkr,1566,0,1566,2,0,3,1,7,Attchd,2,750,144,0,262500
242,RM,40,3880,Pave,,Reg,OldTown,1Fam,1Story,5,9,1945,1997,Gable,686,SBrkr,866,0,866,1,0,2,1,4,,0,0,58,0,110500
243,RM,63,5000,Pave,,Reg,OldTown,1Fam,1.5Fin,5,4,1900,1950,Gable,540,FuseA,889,551,1440,1,0,3,1,6,Attchd,1,352,0,0,79000
244,RL,75,10762,Pave,,Reg,SawyerW,TwnhsE,2Story,6,6,1980,1980,Gable,626,SBrkr,626,591,1217,1,1,3,1,6,Attchd,1,288,0,0,120000
245,RL,,8880,Pave,,IR1,SawyerW,1Fam,2Story,7,5,1994,2002,Gable,948,SBrkr,1222,888,2110,2,1,3,1,8,Attchd,2,463,0,0,205000
246,RL,80,10400,Pave,,Reg,NWAmes,1Fam,1Story,7,5,1988,1988,Gable,1845,SBrkr,1872,0,1872,2,0,3,1,6,Attchd,2,604,197,0,241500
247,RM,69,9142,Pave,Grvl,Reg,OldTown,2fmCon,2Story,6,8,1910,1950,Gable,1020,FuseP,908,1020,1928,2,0,4,2,9,Detchd,1,440,0,0,137000
248,RL,75,11310,Pave,,Reg,NAmes,1Fam,1Story,6,5,1954,1954,Hip,1367,SBrkr,1375,0,1375,1,0,2,1,5,Attchd,2,451,0,0,140000
249,RL,72,11317,Pave,,Reg,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,840,SBrkr,840,828,1668,2,1,3,1,8,Attchd,2,500,144,0,180000
250,RL,,159000,Pave,,IR2,ClearCr,1Fam,1.5Fin,6,7,1958,2006,Gable,1444,SBrkr,1444,700,2144,2,0,4,1,7,Attchd,2,389,0,0,277000
251,RL,55,5350,Pave,,IR1,BrkSide,1Fam,1Story,3,2,1940,1966,Gable,728,SBrkr,1306,0,1306,1,0,3,1,6,,0,0,263,0,76500
252,RM,44,4750,Pave,,IR1,Crawfor,TwnhsE,1Story,8,5,2006,2007,Hip,1573,SBrkr,1625,0,1625,2,0,2,1,5,Attchd,2,538,123,0,235000
253,RL,65,8366,Pave,,IR1,SawyerW,1Fam,2Story,6,5,2004,2004,Gable,798,SBrkr,798,842,1640,2,1,3,1,6,Attchd,2,520,138,0,173000
254,RL,85,9350,Pave,,Reg,NAmes,1Fam,SLvl,6,7,1964,1991,Hip,1302,SBrkr,1302,0,1302,2,0,3,1,7,Attchd,1,309,333,0,158000
255,RL,70,8400,Pave,,Reg,NAmes,1Fam,1Story,5,6,1957,1957,Gable,1314,SBrkr,1314,0,1314,1,0,3,1,5,Attchd,1,294,250,0,145000
256,RL,66,8738,Pave,,IR1,Gilbert,1Fam,2Story,7,5,1999,1999,Gable,975,SBrkr,1005,1286,2291,2,1,4,1,8,BuiltIn,2,429,192,0,230000
257,FV,64,8791,Pave,,IR1,Somerst,1Fam,2Story,6,5,2003,2003,Gable,864,SBrkr,864,864,1728,2,1,3,1,7,Attchd,2,673,216,0,207500
258,RL,68,8814,Pave,,Reg,CollgCr,1Fam,1Story,7,5,2006,2006,Gable,1604,SBrkr,1604,0,1604,2,1,3,1,8,Attchd,2,660,123,0,220000
259,RL,80,12435,Pave,,Reg,CollgCr,1Fam,2Story,7,5,2001,2001,Gable,963,SBrkr,963,829,1792,2,1,3,1,7,Attchd,2,564,0,0,231500
260,RM,70,12702,Pave,,Reg,OldTown,1Fam,1Story,5,5,1956,1956,Gable,0,FuseA,882,0,882,1,0,2,1,4,Detchd,1,308,0,0,97000
261,RL,120,19296,Pave,,Reg,NAmes,1Fam,SLvl,6,5,1962,1962,Gable,1362,SBrkr,1382,0,1382,1,0,3,1,6,Attchd,2,884,0,0,176000
262,RL,69,9588,Pave,,IR1,CollgCr,1Fam,2Story,8,5,2007,2007,Gable,1482,SBrkr,1482,1092,2574,2,1,3,1,10,BuiltIn,3,868,0,0,276000
263,RL,88,8471,Pave,,IR1,Sawyer,1Fam,SLvl,6,7,1977,1995,Gable,506,SBrkr,1212,0,1212,1,0,3,1,6,Attchd,2,492,292,0,151000
264,RM,50,5500,Pave,,Reg,OldTown,1Fam,1.5Fin,5,7,1929,2001,Gable,926,SBrkr,926,0,1316,1,0,3,1,6,Detchd,2,484,0,0,130000
265,RM,30,5232,Pave,Grvl,IR3,OldTown,1Fam,1Story,5,5,1925,2004,Gable,680,FuseP,764,0,764,1,0,2,1,4,Detchd,2,504,0,0,73000
266,RL,78,12090,Pave,,IR1,NWAmes,1Fam,1Story,6,6,1981,1981,Gable,1422,SBrkr,1422,0,1422,2,0,3,1,7,Attchd,2,576,276,0,175500
267,RL,70,11207,Pave,,IR1,Gilbert,1Fam,2Story,6,5,1997,1997,Gable,802,SBrkr,802,709,1511,2,1,3,1,8,Attchd,2,413,95,0,185000
268,RL,60,8400,Pave,,Reg,SWISU,1Fam,2.5Fin,5,8,1939,1997,Gable,720,SBrkr,1052,720,2192,2,1,4,1,8,Detchd,1,240,262,0,179500
269,RM,71,6900,Pave,,Reg,IDOTRR,1Fam,1Story,5,6,1940,1955,Gable,740,SBrkr,778,0,778,1,0,2,1,4,Detchd,1,924,0,0,120500
270,RL,,7917,Pave,,IR1,Edwards,1Fam,1Story,6,7,1976,1976,Hip,1143,SBrkr,1113,0,1113,1,1,3,1,6,Attchd,1,504,370,0,148000
271,FV,84,10728,Pave,,Reg,Somerst,1Fam,2Story,8,5,2006,2006,Gable,1095,SBrkr,1095,844,1939,2,1,3,1,8,Attchd,3,1053,192,0,266000
272,RL,73,39104,Pave,,IR1,ClearCr,1Fam,1Story,7,7,1954,2005,Flat,1385,SBrkr,1363,0,1363,1,0,2,1,5,Attchd,2,439,81,0,241500
273,RL,92,11764,Pave,,IR1,NoRidge,1Fam,2Story,8,7,1999,2007,Gable,1152,SBrkr,1164,1106,2270,2,1,4,1,9,Attchd,3,671,132,0,290000
274,RL,80,9600,Pave,,Reg,NAmes,1Fam,1Story,6,6,1958,1988,Hip,1240,SBrkr,1632,0,1632,2,0,3,1,6,Attchd,1,338,289,0,139000
275,RL,76,8314,Pave,,Reg,Mitchel,1Fam,1Story,5,7,1982,1982,Gable,816,SBrkr,816,0,816,1,0,2,1,5,Attchd,1,264,168,0,124500
276,RL,55,7264,Pave,,Reg,BrkSide,1Fam,1.5Fin,7,7,1925,2007,Gable,952,SBrkr,952,596,1548,2,1,3,1,5,Detchd,2,672,74,0,205000
277,RL,129,9196,Pave,,IR1,Mitchel,1Fam,1Story,7,5,2003,2003,Gable,1560,SBrkr,1560,0,1560,2,0,3,1,7,Attchd,2,573,100,0,201000
278,RL,140,19138,Pave,,Reg,Gilbert,1Fam,1Story,4,5,1951,1951,Gable,864,SBrkr,864,0,864,1,0,2,1,4,Detchd,2,400,0,0,141000
279,RL,107,14450,Pave,,Reg,NridgHt,1Fam,1Story,9,5,2006,2007,Gable,2121,SBrkr,2121,0,2121,2,1,3,1,8,Attchd,3,732,124,0,415298
280,RL,83,10005,Pave,,Reg,ClearCr,1Fam,2Story,7,5,1977,1977,Hip,1160,SBrkr,1156,866,2022,2,1,4,1,8,Attchd,2,505,288,0,192000
281,RL,82,11287,Pave,,Reg,SawyerW,1Fam,2Story,7,6,1989,1989,Gable,807,SBrkr,1175,807,1982,2,1,3,1,7,Attchd,2,575,0,0,228500
282,FV,60,7200,Pave,Pave,Reg,Somerst,1Fam,1Story,6,5,2006,2006,Gable,1262,SBrkr,1262,0,1262,2,0,2,1,5,Attchd,2,572,0,0,185000
283,RL,34,5063,Pave,,Reg,NridgHt,Twnhs,1Story,7,5,2007,2008,Gable,1314,SBrkr,1314,0,1314,2,0,2,1,6,Attchd,2,626,172,0,207500
284,RL,74,9612,Pave,,Reg,Somerst,1Fam,1Story,8,5,2008,2009,Gable,1468,SBrkr,1468,0,1468,2,0,3,1,6,Attchd,3,898,210,0,244600
285,RL,50,8012,Pave,,Reg,SawyerW,TwnhsE,1Story,6,5,1992,1992,Gable,1575,SBrkr,1575,0,1575,2,0,2,1,5,Attchd,2,529,0,0,179200
286,FV,35,4251,Pave,Pave,IR1,Somerst,TwnhsE,2Story,7,5,2006,2007,Gable,625,SBrkr,625,625,1250,2,1,2,1,5,Detchd,2,528,0,0,164700
287,RL,77,9786,Pave,,IR1,NAmes,1Fam,1.5Fin,6,7,1962,1981,Gable,912,SBrkr,1085,649,1734,1,1,3,1,7,Attchd,2,440,0,0,159000
288,RL,,8125,Pave,,IR1,NAmes,1Fam,1Story,4,4,1971,1971,Gable,858,SBrkr,858,0,858,1,0,3,1,5,,0,0,0,0,88000
289,RL,,9819,Pave,,IR1,Sawyer,1Fam,1Story,5,5,1967,1967,Gable,882,SBrkr,900,0,900,1,0,3,1,5,Detchd,1,280,0,0,122000
290,RL,60,8730,Pave,,Reg,BrkSide,1Fam,2Story,6,7,1915,2003,Gable,698,FuseA,698,698,1396,1,0,3,1,7,Detchd,1,384,0,0,153575
291,RL,120,15611,Pave,,Reg,CollgCr,1Fam,2Story,8,5,2006,2006,Gable,1079,SBrkr,1079,840,1919,2,1,3,1,8,Attchd,2,685,0,0,233230
292,RL,55,5687,Pave,Grvl,Reg,SWISU,2fmCon,2Story,5,6,1912,2000,Gable,780,SBrkr,936,780,1716,2,0,6,1,9,,0,0,0,0,135900
293,RL,60,11409,Pave,,Reg,Edwards,1Fam,1.5Fin,5,4,1949,2008,Gable,768,SBrkr,1148,568,1716,1,1,3,1,8,Attchd,1,281,0,0,131000
294,RL,,16659,Pave,,IR1,NWAmes,1Fam,2Story,7,7,1977,1994,Gable,795,SBrkr,1468,795,2263,2,1,3,1,9,Attchd,2,539,0,0,235000
295,RL,80,9600,Pave,,Reg,NAmes,1Fam,1Story,6,5,1953,1953,Hip,1416,SBrkr,1644,0,1644,1,0,3,1,7,Attchd,2,418,110,0,167000
296,RL,37,7937,Pave,,IR1,Mitchel,1Fam,SLvl,6,6,1984,1984,Gable,1003,SBrkr,1003,0,1003,1,0,3,1,6,Detchd,2,588,120,0,142500
297,RM,75,13710,Pave,,Reg,IDOTRR,1Fam,1.5Fin,5,5,1950,1950,Gable,910,FuseA,910,648,1558,1,1,4,1,6,Attchd,1,282,289,0,152000
298,FV,66,7399,Pave,Pave,IR1,Somerst,1Fam,2Story,7,5,1997,1998,Hip,975,SBrkr,975,975,1950,2,1,3,1,7,Detchd,2,576,0,0,239000
299,RL,90,11700,Pave,,Reg,NWAmes,1Fam,2Story,6,6,1968,1968,Mansard,702,SBrkr,1041,702,1743,1,2,3,1,7,Attchd,2,539,224,0,175000
300,RL,80,14000,Pave,,Reg,Crawfor,1Fam,1Story,6,8,1950,2004,Gable,1092,SBrkr,1152,0,1152,1,0,3,1,6,Attchd,1,300,0,0,158500
301,RL,90,15750,Pave,,Reg,Crawfor,2fmCon,1Story,5,5,1953,1953,Hip,1165,SBrkr,1336,0,1336,1,0,2,1,5,Attchd,1,375,0,0,157000
302,RL,66,16226,Pave,,IR3,CollgCr,1Fam,2Story,8,5,1998,1999,Gable,1028,SBrkr,1210,1242,2452,2,1,4,1,9,BuiltIn,2,683,208,0,267000
